,Adam Joseph Lewis Center - Gross Electricity Consumption (kWh),Kohl Building - Total Electricity Use (kWh),Science Center - Electricity Use (kWh),Asia House - Residential Electricity Use (kWh),East - Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Noah - Electricity Use (kWh),North - Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Harvey - Electricity Use (kWh),Talcott - Residential Electricity Use (kWh),Lord-Saunders Electricity use (kWh)
2023-11-16,0.71682644,7.838377,62.40531,1.709948,4.1021156,10.309484,2.7893937,5.891732,1.158966,1.417229,1.2346296,4.378184
2023-11-17,0.60465795,8.19652,63.66998,1.6371782,3.758925,11.412431,2.6439674,5.7929883,1.2113752,1.3587723,1.2874827,4.2533092
2023-11-18,0.403395,8.819952,65.5186,1.5545859,3.4273517,12.472751,2.541342,5.762626,1.2601662,1.320063,1.3273802,4.14803
2023-11-19,0.29045296,9.719299,66.926315,1.5008582,3.2985725,13.5879,2.5662117,5.893768,1.3359119,1.3492182,1.3678045,4.295301
2023-11-20,0.21659683,10.907116,67.39337,1.4639733,3.34634,15.02014,2.6974077,6.314035,1.409809,1.4420716,1.4176042,4.696411
2023-11-21,0.23417681,11.787961,66.988075,1.3690777,3.2835233,16.194096,2.7649412,6.890743,1.4323608,1.4675447,1.4475328,4.7353787
2023-11-22,0.21903141,12.244559,66.7646,1.2487953,2.9388883,17.332682,2.7142112,7.161597,1.4322133,1.477206,1.4710191,4.589886
2023-11-23,0.3031111,12.230496,66.7749,1.1390053,2.4152553,18.81434,2.6521084,7.2213745,1.4076527,1.4482167,1.4846418,4.3401265
2023-11-24,0.40338793,11.819776,66.08618,1.0725611,1.6576178,21.141943,2.6158776,7.309897,1.3521781,1.4498404,1.4927187,4.16368
2023-11-25,0.46719512,10.906054,65.04486,1.0693345,1.4126918,23.871443,2.6504717,7.3575377,1.2371951,1.5131272,1.4470289,4.105185
2023-11-26,0.58767486,10.18237,64.00251,1.0907851,1.9893003,26.95193,2.636941,7.388751,1.0862575,1.4644297,1.3288813,3.9715059
2023-11-27,0.72702056,9.748039,63.423317,1.1747942,2.5532897,29.496843,2.6541042,7.5309324,0.959493,1.4688914,1.2411613,3.85938
2023-11-28,0.707555,9.38461,65.22138,1.3169606,2.9267218,32.210575,2.771686,7.7378616,0.85762346,1.5844405,1.1483353,3.8989859
2023-11-29,0.6305934,9.027593,67.37371,1.4332445,3.2430615,34.364822,2.8655062,7.865315,0.7816094,1.6929363,1.0533931,3.9642296
2023-11-30,0.5718872,8.794689,68.77457,1.5057322,3.5081382,36.743267,2.831821,7.8696814,0.7658776,1.6714673,0.9788746,3.7699049
2023-12-01,0.5594158,8.709479,68.99879,1.4748985,3.8036778,39.261837,2.7121394,7.678734,0.8209663,1.5209144,0.9156126,3.2716444
2023-12-02,0.57403433,8.80136,69.20189,1.3715423,4.096468,40.687675,2.6575716,7.351424,0.8859373,1.3366657,0.8860633,2.7917192
2023-12-03,0.66952413,8.871404,68.83661,1.269813,4.246382,40.68034,2.6045947,7.118078,0.94187075,1.1851679,0.863307,2.5511649
2023-12-04,0.87213063,8.619993,67.371895,1.2207205,4.3267164,40.720116,2.5354528,7.1562977,0.97920996,1.0533285,0.8250578,2.4075527
2023-12-05,1.0314064,8.210902,66.19893,1.2261766,4.286855,40.160526,2.4665082,7.402013,0.99091494,0.9666802,0.7744406,2.3073802
2023-12-06,1.0528337,7.824265,66.18098,1.279825,4.4884033,40.088413,2.4999213,7.6317306,0.9634603,0.98346037,0.72352517,2.379043
2023-12-07,0.9889155,7.4996147,67.157524,1.3688694,4.9740806,41.82468,2.6334145,7.9175067,0.97016466,1.0434545,0.73059267,2.6946983
2023-12-08,0.9289833,7.3897247,67.73588,1.416326,5.4968305,43.610462,2.670641,7.9937296,1.042434,1.0569215,0.7651021,2.8560908
2023-12-09,0.9870518,7.445557,66.92474,1.4107331,5.6403003,43.723717,2.640278,7.753276,1.1197786,1.0523677,0.7773163,2.7644103
2023-12-10,1.0477651,7.3244076,66.25854,1.38745,5.38321,42.289562,2.6748483,7.345449,1.135837,1.1038153,0.7587471,2.7288942
2023-12-11,0.9508572,7.077517,66.39637,1.3708557,5.1186543,40.073364,2.677779,6.862587,1.1162541,1.1534965,0.728905,2.7659624
2023-12-12,0.8501265,6.9542246,66.61066,1.3904034,4.8154263,38.9429,2.5940623,6.515555,1.1098541,1.1691607,0.72683895,2.856739
2023-12-13,0.77162546,7.236738,66.59845,1.4021492,4.5049367,39.1035,2.475246,6.2958846,1.13258,1.1673293,0.74170256,2.860926
2023-12-14,0.6944848,7.717111,66.58965,1.4156122,4.3200984,39.623707,2.4229362,6.1578026,1.167612,1.1938418,0.7492966,2.876133
2023-12-15,0.654817,8.058614,66.3107,1.4389074,4.319409,40.79777,2.4728994,6.1633663,1.2015833,1.2371535,0.7470092,2.9582105
2023-12-16,0.6800221,8.116915,65.79582,1.4714559,4.4439387,42.24071,2.545588,6.2427034,1.2349763,1.257254,0.7340929,3.0287817
2023-12-17,0.7712195,7.964625,65.162285,1.4912612,4.6050777,43.236195,2.5838645,6.317202,1.2666124,1.23494,0.71772903,3.0133903
2023-12-18,0.8991283,7.824534,64.48546,1.5037168,4.6941814,43.420097,2.6409333,6.381047,1.2871475,1.2285187,0.7047777,2.9919329
2023-12-19,1.0033708,7.8126974,64.09949,1.5304942,4.7813187,43.312847,2.74108,6.5061545,1.2895944,1.2697803,0.7151459,3.0568311
2023-12-20,1.0113261,7.8678164,64.19741,1.5749658,4.9983683,43.346222,2.8397195,6.64482,1.2851813,1.3324927,0.75007474,3.1882203
2023-12-21,1.0019352,7.9105797,64.40571,1.6309832,5.3799157,43.698742,2.9464176,6.8619137,1.2885165,1.4040222,0.8125566,3.3793273
2023-12-22,1.0470586,7.9088387,64.39452,1.6896592,5.831761,44.37527,3.1112819,7.2044983,1.299773,1.4817215,0.8887697,3.5876827
2023-12-23,1.1778129,7.797356,64.45707,1.7618836,6.2869544,45.330376,3.3663938,7.7281575,1.3205123,1.567641,0.9836297,3.771094
2023-12-24,1.4523981,7.6192102,64.506905,1.843638,6.5764847,45.86177,3.6804874,8.427418,1.3203461,1.6728586,1.0256283,3.8296843
2023-12-25,1.8379998,7.5473757,64.79007,1.8939639,6.6388335,45.330276,3.8782787,8.889957,1.2894502,1.7083188,1.019563,3.6409085
2023-12-26,2.102377,7.647482,65.62319,1.899515,6.6225553,44.14059,3.9733915,9.196645,1.2390385,1.7652969,1.009181,3.4850252
2023-12-27,2.1418939,7.8637223,66.76445,1.8991234,6.841529,42.863403,4.005931,9.241546,1.1805189,1.8091364,0.9978527,3.418259
2023-12-28,2.1664214,8.087995,67.607834,1.9359676,7.501909,42.71395,4.0289683,9.226725,1.1342164,1.8422881,0.9742401,3.4868245
2023-12-29,2.1553864,8.360989,68.74473,1.9917738,8.429649,43.42263,4.013919,9.191385,1.0988626,1.9026427,0.9486526,3.6011195
2023-12-30,2.0770204,8.635057,70.105354,2.0660634,9.519838,44.27317,3.9152625,9.208589,1.0617394,2.0291462,0.9162163,3.8434787
2023-12-31,2.1608574,9.006353,70.92025,2.1265996,10.4614725,45.24316,3.6805382,9.16059,1.0242075,2.0246658,0.8639848,3.9020996
2024-01-01,2.2977917,9.249734,70.766045,2.222446,11.120516,45.984177,3.6259732,9.229074,1.0390072,2.0522263,0.8497179,4.1701903
2024-01-02,2.315798,9.192512,70.148094,2.331603,11.213802,45.45584,3.8420346,9.533301,1.0355917,2.2081835,0.86583424,4.675242
2024-01-03,2.6734097,8.94998,70.55609,2.4252994,11.037494,44.69105,4.1490636,9.577052,1.0186263,2.202483,0.90926373,4.618011
2024-01-04,2.5866797,8.88218,71.81676,2.5196369,10.281124,41.3349,4.342338,9.573806,0.99644405,2.2599535,0.9407656,4.6000314
2024-01-05,2.519449,9.176046,72.005424,2.557931,9.425213,35.505325,4.3701167,9.346543,0.9222483,2.1849682,0.9424541,4.409547
2024-01-06,2.3993216,9.174148,72.76383,2.5804708,9.274823,28.780018,4.2747602,9.035376,0.7925886,2.0450923,0.976758,4.3030844
2024-01-07,2.0125813,9.180553,72.14431,2.5370827,10.0666,19.062843,3.929247,8.52746,0.6835379,1.804317,0.9880116,4.11685
2024-01-08,1.5664688,8.579676,71.85293,2.4873877,10.657007,10.973708,3.5710537,8.363589,0.61900985,1.7451077,1.0050409,4.2839713
2024-01-09,1.3064969,8.483692,71.666695,2.5767927,9.962164,6.4103775,3.5096943,8.753604,0.6643881,1.8959812,1.0932703,4.683419
