Timestamp,Adam Joseph Lewis Center - Gross Electricity Consumption (kWh),Kohl Building - Total Electricity Use (kWh),Science Center - Electricity Use (kWh),Asia House - Residential Electricity Use (kWh),East - Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Noah - Electricity Use (kWh),North - Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Harvey - Electricity Use (kWh),Lord - Electricity Use (kWh),Saunders - Electricity Use (kWh),Talcott - Residential Electricity Use (kWh)
2013-01-01,4.192083333333334,,,0.6922299999999996,5.139487708333333,31.90754708333333,1.6501071874999995,5.054330937499998,0.1090234375,0.36554749999999997,0.19187520833333335,0.10588562499999998,1.0847678124999998
2013-01-02,5.782356770833331,,,1.0296150000000004,5.830312499999999,36.06354166666666,1.7452083333333333,5.880208541666666,0.1663670833333333,0.4060807291666666,0.23524739583333332,0.12751302083333335,1.446848854166667
2013-01-03,5.467968750000003,,,1.3748015625,6.049635416666665,38.786458333333336,1.9131250000000006,6.676406249999999,0.2783463541666667,0.40559895833333326,0.21911458333333325,0.17701822916666665,1.4815885416666668
2013-01-04,4.3949088541666645,,,1.2873567708333329,6.2000520833333335,36.956250000000004,1.9784375,6.795989583333335,0.29899739583333323,0.528997395833333,0.7737369791666665,0.8994010416666667,1.681315104166667
2013-01-05,4.390559895833333,,,1.5281510416666666,6.384843749999997,38.65937500000001,2.145729166666666,6.791406249999998,0.4514192708333333,0.6195052083333334,1.214674479166667,1.4604947916666668,1.7563281249999998
2013-01-06,4.362617187500001,,,1.6656119791666668,6.488177083333337,40.389583333333334,2.2415624999999992,7.170468749999999,0.4234180208333334,0.7170833333333334,1.1510546874999996,1.3307942708333333,1.8332812500000006
2013-01-07,4.187342105263157,,,1.6744511578947374,6.437842210526318,40.72986333333334,2.313333333333333,7.232708437499998,0.3436313829787234,0.7517631578947367,1.2734374999999996,1.5330598958333335,2.4523003125
2013-01-08,3.7635416666666672,,,1.7914321874999999,6.675208229166665,39.74374541666666,2.3325,7.22692708333333,0.4250065624999999,0.7400651041666667,1.2397135416666665,1.4004166666666664,2.4127213541666666
2013-01-09,3.456119791666666,,,1.7022397916666658,6.584114583333332,40.593750416666666,2.3715625,7.140104166666667,0.4720963541666668,0.7356119791666663,1.0755859374999999,1.253489583333333,2.0127736458333323
2013-01-10,3.988867187500002,,,1.631241666666667,6.311771145833333,39.07499791666667,2.3881251041666673,7.243905729166673,0.4170747916666668,0.7793880208333336,1.2688020833333333,1.4510416666666666,1.7060940625000007
2013-01-11,3.248997395833334,,,1.6970557291666661,6.3658859375,40.501015,2.3571876041666666,6.8708321875000005,0.3616885416666666,0.8036979166666667,0.9415755208333333,0.9525520833333335,1.3664308333333335
2013-01-12,2.0311328125000006,,,1.8762497916666667,6.449999999999999,42.016666666666666,2.3842708333333333,7.068177083333335,0.35692072916666656,0.9987369791666665,1.119544270833333,1.0884375000000002,1.0213021875000001
2013-01-13,2.183268229166667,,,1.6643232291666665,6.4608853125,43.11666875,2.409166666666667,7.450103854166669,0.4938086458333333,0.948893229166667,1.052330729166667,1.2524998958333333,1.0758202083333335
2013-01-14,4.447356770833333,,,1.5492450000000002,6.2540625,45.50000125,2.4164584374999993,7.541510000000002,0.42406906250000004,0.7482812499999999,1.3261458333333336,1.6605859374999994,0.9696354166666666
2013-01-15,4.224010416666666,,,1.4550393750000001,6.267917291666666,46.226049166666655,2.3932293749999998,7.594739062500005,0.34526052083333353,0.7997005208333335,1.364309895833333,1.7622787499999994,1.284739583333333
2013-01-16,4.240273437500001,,,1.621473953488372,7.063218505747126,46.786065217391304,2.633448735632184,8.365057093023255,0.30315093750000005,0.6932291666666668,1.2582552083333332,1.7610633333333332,2.377184137931035
2013-01-17,4.185924479166666,,,1.5215764583333333,6.498124791666666,44.7812475,2.391354270833333,7.934271250000001,0.5757748958333333,0.8346223958333332,1.151315104166667,1.541315104166667,1.7340232291666668
2013-01-18,4.191341145833332,,,1.4264715624999997,6.272084479166666,45.56979791666666,2.3784374999999995,6.9883856249999985,0.38688177083333336,0.7109375000000001,1.3593098958333343,1.6893229166666666,1.5710417708333333
2013-01-19,3.255859375,,,1.4178126041666665,6.332708749999999,43.03021541666667,2.338854166666667,6.9862492708333335,0.29992864583333334,0.6722135416666668,0.9072916666666667,1.066119791666667,1.0442837500000002
2013-01-20,3.8948958333333326,,,1.4738287500000002,6.539532708333333,40.47188,2.465625104166667,7.440886041666672,0.38013677083333325,0.7691796874999995,1.3572916666666668,1.7372135416666667,1.00127625
2013-01-21,4.6428385416666655,,,1.5546877083333337,6.612916770833338,41.40520541666667,2.448958333333333,7.632082916666665,0.34747406249999996,0.7032421875,1.6564062499999999,1.8778515625,1.12078125
2013-01-22,7.505468750000002,,,1.6183204166666671,6.506875729166668,42.53646333333333,2.3589583333333333,7.766614062500004,0.5009245833333331,0.7017578125000004,1.5503645833333326,1.5946874999999998,1.986393333333334
2013-01-23,6.673489583333335,,,1.6758206249999998,6.543906145833333,44.53750374999999,2.4878123958333336,7.910783437500002,0.5212763541666664,0.705,1.6927734374999999,1.8924087500000006,1.974049791666667
2013-01-24,5.613059895833337,,,1.6022658333333337,7.036197604166664,41.133333333333326,2.439166666666666,7.757082708333333,0.46938833333333313,0.7116536458333339,1.5903125000000005,1.9043359375,1.5877084375000001
2013-01-25,5.80998697916667,,,1.5317566315789475,7.124167604166669,40.88020875,2.3963542708333327,7.70458291666667,0.47347656250000014,0.6755859375000001,1.560455729166667,1.939895833333334,1.722057291666667
